Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],Identity,50,0.01,16,1.0
[4],Identity,50,0.01,32,1.0
[4],Identity,50,0.01,64,1.0
[4],Identity,50,0.01,128,0.9
[4],Identity,50,0.01,256,0.9666666666666667
[4],Identity,50,0.01,512,0.8333333333333334
[4],Identity,50,0.001,16,0.9
[4],Identity,50,0.001,32,0.8666666666666667
[4],Identity,50,0.001,64,0.3333333333333333
[4],Identity,50,0.001,128,0.03333333333333333
[4],Identity,50,0.001,256,0.7333333333333333
[4],Identity,50,0.001,512,0.16666666666666666
[4],Identity,50,0.0001,16,0.36666666666666664
[4],Identity,50,0.0001,32,0.1
[4],Identity,50,0.0001,64,0.2
[4],Identity,50,0.0001,128,0.0
[4],Identity,50,0.0001,256,0.4666666666666667
[4],Identity,50,0.0001,512,0.3333333333333333
[4],Identity,100,10.0,16,1.0
[4],Identity,100,10.0,32,1.0
[4],Identity,100,10.0,64,1.0
[4],Identity,100,10.0,128,0.9666666666666667
[4],Identity,100,10.0,256,1.0
[4],Identity,100,10.0,512,0.9666666666666667
[4],Identity,100,1.0,16,1.0
[4],Identity,100,1.0,32,1.0
[4],Identity,100,1.0,64,1.0
[4],Identity,100,1.0,128,1.0
[4],Identity,100,1.0,256,1.0
[4],Identity,100,1.0,512,1.0
[4],Identity,100,0.1,16,1.0
[4],Identity,100,0.1,32,1.0
[4],Identity,100,0.1,64,1.0
[4],Identity,100,0.1,128,1.0
[4],Identity,100,0.1,256,1.0
[4],Identity,100,0.1,512,1.0
[4],Identity,100,0.01,16,1.0
[4],Identity,100,0.01,32,1.0
[4],Identity,100,0.01,64,1.0
[4],Identity,100,0.01,128,1.0
[4],Identity,100,0.01,256,1.0
[4],Identity,100,0.01,512,1.0
[4],Identity,100,0.001,16,0.9666666666666667
[4],Identity,100,0.001,32,0.8666666666666667
[4],Identity,100,0.001,64,0.9
[4],Identity,100,0.001,128,0.9333333333333333
[4],Identity,100,0.001,256,0.8333333333333334
[4],Identity,100,0.001,512,0.7333333333333333
[4],Identity,100,0.0001,16,0.36666666666666664
[4],Identity,100,0.0001,32,0.0
[4],Identity,100,0.0001,64,0.3333333333333333
